metric,model_a_value,model_b_value,difference_a_minus_b,bootstrap_ci_low,bootstrap_ci_high,paired_permutation_p,n_items,task,model_a_family,model_a,model_a_input,model_b_family,model_b,model_b_input
macro_f1,0.9050578298013742,0.8738181492109038,0.03123968059047033,0.016746018676647975,0.04658665005360677,0.0004997501249375312,1497,applicability,transformer,bertimbau_weighted,raw,tfidf,tfidf_word_linearsvc_raw,raw
macro_f1,0.7597064768631778,0.7614426306334453,-0.001736153770267479,-0.049330192545806305,0.05056029828836847,0.953023488255872,395,acceptance_3,transformer,bertimbau_weighted,raw,tfidf,tfidf_word_linearsvc_raw,raw
qwk,0.680575772278829,0.6224267229767895,0.05814904930203957,-0.0026150271913106564,0.12682531899020244,0.08595702148925537,395,acceptance_3,transformer,bertimbau_weighted,raw,tfidf,tfidf_word_linearsvc_raw,raw
mae,0.29873417721518986,0.3291139240506329,-0.030379746835443033,-0.08860759493670889,0.022784810126582233,0.3363318340829585,395,acceptance_3,transformer,bertimbau_weighted,raw,tfidf,tfidf_word_linearsvc_raw,raw
macro_f1,0.6820902986303512,0.6291482435616469,0.05294205506870431,-0.005237080981094041,0.11160006308786491,0.07646176911544228,395,intensity_3,transformer,bertimbau_weighted,raw,tfidf,tfidf_char_logreg_raw,raw
qwk,0.6793453675645864,0.5357662197964184,0.14357914776816805,0.06288841822290746,0.22694163462503697,0.0014992503748125937,395,intensity_3,transformer,bertimbau_weighted,raw,tfidf,tfidf_char_logreg_raw,raw
mae,0.3265822784810127,0.38734177215189874,-0.06075949367088607,-0.1240506329113924,0.0025316455696202667,0.06996501749125437,395,intensity_3,transformer,bertimbau_weighted,raw,tfidf,tfidf_char_logreg_raw,raw
