task,family,model,input,label,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_per_seed
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,-1,0.8000352912859471,0.00897834169837972,0.8257191201353639,0.005861424052686582,0.8126667414805672,0.007036560663189124,197
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0,0.6630726761161544,0.02989065337078417,0.5783132530120482,0.05521175536091365,0.6173231814973638,0.04162170826129738,83
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,1,0.6149735898887002,0.024408049783164968,0.6376811594202899,0.02188357807324855,0.6259310559667003,0.01878817281700516,115
acceptance_5,baseline,majority_baseline,none,-2,0.0,0.0,0.0,0.0,0.0,0.0,31
acceptance_5,baseline,majority_baseline,none,-1,0.0,0.0,0.0,0.0,0.0,0.0,72
acceptance_5,baseline,majority_baseline,none,0,0.3360655737704918,0.0,1.0,0.0,0.5030674846625767,0.0,82
acceptance_5,baseline,majority_baseline,none,1,0.0,0.0,0.0,0.0,0.0,0.0,26
acceptance_5,baseline,majority_baseline,none,2,0.0,0.0,0.0,0.0,0.0,0.0,33
acceptance_5,baseline,stratified_random_baseline,none,-2,0.11662918540729635,0.026498172391160174,0.10752688172043011,0.03724840446384682,0.11146384479717812,0.032535739139612566,31
acceptance_5,baseline,stratified_random_baseline,none,-1,0.31572964807585885,0.05812727454326878,0.3101851851851852,0.048776174781725634,0.3127431382750532,0.05268878628063299,72
acceptance_5,baseline,stratified_random_baseline,none,0,0.3094109329840102,0.03803332889654766,0.3252032520325203,0.037256712967120666,0.3169383128892202,0.03679966165178535,82
acceptance_5,baseline,stratified_random_baseline,none,1,0.07817204301075269,0.03694405215919111,0.07692307692307693,0.038461538461538464,0.07710025276319528,0.03756617409208089,26
acceptance_5,baseline,stratified_random_baseline,none,2,0.1411088911088911,0.04519789550006696,0.1414141414141414,0.046288643383392336,0.14050339460175523,0.04297164767054873,33
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,-2,0.4648148148148148,0.03059761415158946,0.26881720430107525,0.018624202231923435,0.33996577354345997,0.01321128339715359,31
acceptance_5,tfidf,tfidf_char_logreg_raw,raw,-1,0.5834238785269713,0.008716625961830747,0.7453703703703703,0.034952937200327515,0.6542661935358962,0.014520131042285752,72
