task,family,model,input,gold_label,pred_label,row_normalized_mean,row_normalized_std,count_mean
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0,0,0.5742971887550201,0.025080313246579965,47.666666666666664
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0,1,0.25702811244979923,0.025080313246579947,21.333333333333332
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,1,-1,0.2608695652173913,0.015061311370164176,30.0
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,1,0,0.13333333333333333,0.010040874246776096,15.333333333333334
acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,1,1,0.6057971014492755,0.021883578073248606,69.66666666666667
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,-1,-1,0.8612521150592217,0.002930712026343303,169.66666666666666
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,-1,0,0.04568527918781726,0.005076142131979697,9.0
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,-1,1,0.09306260575296109,0.002930712026343285,18.333333333333332
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,0,-1,0.09638554216867469,0.01204819277108434,8.0
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,0,0,0.6987951807228915,0.02409638554216864,58.0
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,0,1,0.20481927710843373,0.012048192771084338,17.0
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,1,-1,0.2318840579710145,0.010040874246776106,26.666666666666668
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,1,0,0.10724637681159421,0.013282828101321276,12.333333333333334
acceptance_3,tfidf,tfidf_word_logreg_raw,raw,1,1,0.6608695652173914,0.015061311370164143,76.0
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,-1,-1,0.8257191201353639,0.005861424052686582,162.66666666666666
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,-1,0,0.049069373942470386,0.002930712026343278,9.666666666666666
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,-1,1,0.12521150592216582,0.007753935186050488,24.666666666666668
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0,-1,0.1646586345381526,0.018403918453637914,13.666666666666666
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0,0,0.5783132530120482,0.05521175536091365,48.0
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0,1,0.25702811244979923,0.03680783690727583,21.333333333333332
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,1,-1,0.23478260869565218,0.008695652173913049,27.0
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,1,0,0.12753623188405797,0.013282828101321274,14.666666666666666
acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,1,1,0.6376811594202899,0.02188357807324855,73.33333333333333
acceptance_3,transformer,bertimbau_weighted,raw,-1,-1,0.9137055837563451,0.00879213607902978,180.0
acceptance_3,transformer,bertimbau_weighted,raw,-1,0,0.03553299492385787,0.010152284263959388,7.0
acceptance_3,transformer,bertimbau_weighted,raw,-1,1,0.05076142131979696,0.013430209700835489,10.0
acceptance_3,transformer,bertimbau_weighted,raw,0,-1,0.11244979919678715,0.013912054679268088,9.333333333333334
