mapping_id,low_values,medium_values,high_values,is_current_mapping,n,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,linear_weighted_kappa,quadratic_weighted_kappa,mae,a1_low_n,a1_medium_n,a1_high_n,a2_low_n,a2_medium_n,a2_high_n
low_1-2__medium_3-3__high_4-5,1-2,3-3,4-5,False,734,0.5926430517711172,0.6434752990015524,0.5739252658682413,0.607551314228289,0.38490298459356675,0.494066353859569,0.6005753491335581,0.45231607629427795,397,223,114,256,237,241
low_1-1__medium_2-2__high_3-5,1-1,2-2,3-5,False,734,0.6376021798365122,0.5641391339424303,0.5707962577451018,0.615477577767058,0.4042516835556206,0.5082372747418873,0.600143472409878,0.4250681198910082,216,181,337,103,153,478
low_1-1__medium_2-3__high_4-5,1-1,2-3,4-5,True,734,0.6294277929155313,0.6655963110930977,0.6136267936496215,0.631415615984199,0.39769635024164796,0.48376813940780017,0.5928991638424994,0.3787465940054496,216,404,114,103,390,241
low_1-2__medium_3-4__high_5-5,1-2,3-4,5-5,False,734,0.6866485013623979,0.7545354044220542,0.6256945943049262,0.6962457317170638,0.4509990113949738,0.500475212672338,0.5751106227249984,0.31607629427792916,397,312,25,256,410,68
low_1-1__medium_2-4__high_5-5,1-1,2-4,5-5,False,734,0.7574931880108992,0.7367604487516591,0.633389652925248,0.7498359888541191,0.4493043174049206,0.4866568177531905,0.5479763906475965,0.24250681198910082,216,493,25,103,563,68
low_1-3__medium_4-4__high_5-5,1-3,4-4,5-5,False,734,0.7588555858310627,0.750974990938746,0.5812753384501211,0.7967775096790696,0.39852499317126466,0.4626964996081099,0.5357540044379556,0.26975476839237056,620,89,25,493,173,68
