n,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,linear_weighted_kappa,quadratic_weighted_kappa,mae,task,family,model,input,seed,evaluation_unit
395,0.7291139240506329,0.6847911619995762,0.6920936374978757,0.7262435325398434,0.5587651897941286,0.5718038163801371,0.5822055283956993,0.3949367088607595,acceptance_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,2026,all OOF predictions pooled once per item within seed
395,0.779746835443038,0.7476378256349167,0.7515523100358125,0.7775853270727154,0.6427234732705384,0.6448922961484282,0.6466950987127802,0.32151898734177214,acceptance_3,tfidf,tfidf_word_linearsvc_raw,raw,7,all OOF predictions pooled once per item within seed
395,0.7772151898734178,0.7412087546832663,0.7512460164634077,0.7734558659710008,0.6346513632254945,0.6240286400250032,0.6153183201041101,0.3392405063291139,acceptance_3,tfidf,tfidf_word_linearsvc_raw,raw,42,all OOF predictions pooled once per item within seed
395,0.7670886075949367,0.7251444976551538,0.7352746335512576,0.7624569442836892,0.6172561245339456,0.620783820109658,0.6236716746060829,0.34177215189873417,acceptance_3,tfidf,tfidf_word_linearsvc_raw,raw,2026,all OOF predictions pooled once per item within seed
395,0.7189873417721518,0.6775780234156666,0.6808306242221547,0.7157285863163806,0.5433858907333737,0.5543816828557036,0.5635321289752266,0.40253164556962023,acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,7,all OOF predictions pooled once per item within seed
395,0.7088607594936709,0.6651332764294876,0.6699662973585573,0.7058143209499348,0.5263887730419552,0.5413215288578608,0.5535390586679746,0.4177215189873418,acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,42,all OOF predictions pooled once per item within seed
395,0.7240506329113924,0.6800225842677707,0.688211382113821,0.7201100079621716,0.5484151790396676,0.5552365269039677,0.5607571834811765,0.4050632911392405,acceptance_3,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,2026,all OOF predictions pooled once per item within seed
395,0.7721518987341772,0.7460032139150289,0.7479797979797979,0.7708362102032988,0.6319037461947856,0.6233923993417754,0.6162945821442603,0.34177215189873417,acceptance_3,tfidf,tfidf_word_logreg_raw,raw,7,all OOF predictions pooled once per item within seed
395,0.7670886075949367,0.7379710854009728,0.7421295019861328,0.7653221250063498,0.6223866328608836,0.6150314980649171,0.6089378260644984,0.3493670886075949,acceptance_3,tfidf,tfidf_word_logreg_raw,raw,42,all OOF predictions pooled once per item within seed
395,0.7670886075949367,0.7369425616835029,0.7413718251677937,0.7657987004188165,0.6227786082046172,0.6223656276800652,0.6220257166047247,0.34430379746835443,acceptance_3,tfidf,tfidf_word_logreg_raw,raw,2026,all OOF predictions pooled once per item within seed
395,0.7341772151898734,0.7019413784025974,0.7053132261068468,0.7329233924696092,0.5699844479004665,0.5696048589484932,0.5692917527227945,0.3924050632911392,acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,7,all OOF predictions pooled once per item within seed
395,0.7012658227848101,0.6566156038854158,0.661796289031826,0.6987444131559899,0.5146308445277517,0.5284652169360187,0.5396444724939518,0.43291139240506327,acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,42,all OOF predictions pooled once per item within seed
395,0.7215189873417721,0.6831565502796885,0.6888114638059584,0.7200935379601484,0.5485432858152196,0.555322372169949,0.560777199040206,0.41012658227848103,acceptance_3,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,2026,all OOF predictions pooled once per item within seed
395,0.7924050632911392,0.7548025693593177,0.75905691033614,0.7881326564865186,0.6613978966735663,0.6738935353027746,0.6844449152355353,0.2911392405063291,acceptance_3,transformer,bertimbau_weighted,raw,7,all OOF predictions pooled once per item within seed
395,0.7746835443037975,0.7233375789629495,0.7341912163710971,0.7690549382927347,0.6293074359947699,0.6461597060089016,0.6597240788128005,0.32151898734177214,acceptance_3,transformer,bertimbau_weighted,raw,42,all OOF predictions pooled once per item within seed
395,0.779746835443038,0.7383417581161105,0.7455072238029942,0.7760166442797823,0.6402851340883874,0.6528899849760468,0.6632595067511711,0.3139240506329114,acceptance_3,transformer,bertimbau_weighted,raw,2026,all OOF predictions pooled once per item within seed
244,0.3360655737704918,0.2,0.10061349693251534,0.16906366287840693,0.0,0.0,0.0,0.9262295081967213,acceptance_5,baseline,majority_baseline,none,7,all OOF predictions pooled once per item within seed
244,0.3360655737704918,0.2,0.10061349693251534,0.16906366287840693,0.0,0.0,0.0,0.9262295081967213,acceptance_5,baseline,majority_baseline,none,42,all OOF predictions pooled once per item within seed
244,0.3360655737704918,0.2,0.10061349693251534,0.16906366287840693,0.0,0.0,0.0,0.9262295081967213,acceptance_5,baseline,majority_baseline,none,2026,all OOF predictions pooled once per item within seed
244,0.22950819672131148,0.1965613741970941,0.19596670635041769,0.22990332861431984,-0.0191965872733737,-0.023448554679603717,-0.02846876727473724,1.360655737704918,acceptance_5,baseline,stratified_random_baseline,none,7,all OOF predictions pooled once per item within seed
244,0.27459016393442626,0.21688705123008822,0.21836080007288924,0.276126395052291,0.039156358458663276,0.023190734070945518,-0.008105884630275062,1.2663934426229508,acceptance_5,baseline,stratified_random_baseline,none,42,all OOF predictions pooled once per item within seed
244,0.22131147540983606,0.16330309693803008,0.16092185957253424,0.21449952299486552,-0.048916240553871226,-0.07091110993601624,-0.09430596164329264,1.360655737704918,acceptance_5,baseline,stratified_random_baseline,none,2026,all OOF predictions pooled once per item within seed
244,0.6311475409836066,0.5464306870679805,0.537912428033436,0.6106643832103135,0.5024357086212756,0.5856687320146216,0.6599212374264567,0.5368852459016393,acceptance_5,tfidf,tfidf_char_logreg_raw,raw,7,all OOF predictions pooled once per item within seed
244,0.6147540983606558,0.5179706647055191,0.49879561449389326,0.5840353387380218,0.47758746355685133,0.5600466986638993,0.6442602823818293,0.569672131147541,acceptance_5,tfidf,tfidf_char_logreg_raw,raw,42,all OOF predictions pooled once per item within seed
244,0.6065573770491803,0.5206647208024077,0.5061712691889293,0.5863175453218515,0.47121766219693895,0.5479056454292213,0.6146209386281588,0.5942622950819673,acceptance_5,tfidf,tfidf_char_logreg_raw,raw,2026,all OOF predictions pooled once per item within seed
244,0.5860655737704918,0.5096482283343022,0.5057597671074037,0.5718307154066072,0.44289718781083276,0.5230056187048497,0.5965340666635057,0.6188524590163934,acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,7,all OOF predictions pooled once per item within seed
244,0.569672131147541,0.484862041097289,0.47538715708835044,0.5519901027497865,0.41970554926387316,0.5079237034531213,0.5879165473121359,0.6352459016393442,acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,42,all OOF predictions pooled once per item within seed
244,0.5819672131147541,0.5093035908928906,0.5049722788333004,0.5675638100554926,0.43719047511363385,0.5141972256200713,0.591890077214522,0.6270491803278688,acceptance_5,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,2026,all OOF predictions pooled once per item within seed
