task,family,model,input,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,cohen_kappa_mean,cohen_kappa_std,linear_weighted_kappa_mean,linear_weighted_kappa_std,quadratic_weighted_kappa_mean,quadratic_weighted_kappa_std,mae_mean,mae_std
applicability,tfidf,tfidf_char_logreg_raw,raw,0.8603874415497662,0.0006680026720107257,0.862807610857757,0.0006686295172163516,0.8587329600019697,0.0006769582985447676,0.8584368104779515,0.0006785604138406229,0.7220445918257224,0.0013299537605751027,,,,,,
applicability,tfidf,tfidf_word_linearsvc_stopfiltered,stopfiltered,0.8583834335337341,0.004063301623445724,0.8595816623277064,0.004043993076144366,0.8580921962858176,0.004085787779748715,0.8579678756140021,0.004092554672837404,0.7173681310380081,0.008097095462505165,,,,,,
applicability,tfidf,tfidf_word_logreg_stopfiltered,stopfiltered,0.8581607659763972,0.001542686090019055,0.8604074932475302,0.0015285364063163604,0.8567475551822716,0.001580711664540755,0.8564719446038852,0.001585998335988377,0.7175145142906274,0.0030639721069568937,,,,,,
applicability,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0.8572700957470496,0.0013905584498771768,0.8595682704749524,0.0013890261202298586,0.8557700289892409,0.0014084461336922628,0.855485086520872,0.0014115410425489577,0.7157699131195888,0.0027679462676544566,,,,,,
applicability,baseline,stratified_random_baseline,none,0.4958806501892674,0.00685584694648881,0.4958035885403833,0.006527280333686292,0.49567823733966404,0.006716409252601363,0.4958094552867558,0.006882968064266023,-0.008385202533348216,0.01304170717494847,,,,,,
applicability,baseline,majority_baseline,none,0.509686038744155,0.0,0.5,0.0,0.33761061946902654,0.0,0.3441508385502569,0.0,0.0,0.0,,,,,,
intensity_3,transformer,bertimbau_weighted,raw,0.6590717299578058,0.009584655435949833,0.7006726719849358,0.006742295122764825,0.6643633132322196,0.008644669574904338,0.6574307845270084,0.012030625804193161,0.4680626732545827,0.0034543168655153792,0.5535610042672059,0.004050429687601385,0.6587137105037919,0.0069823396517442425,0.3459915611814346,0.013943216575407836
intensity_3,tfidf,tfidf_char_logreg_raw,raw,0.6270042194092826,0.0073082312555648584,0.6276766288789649,0.012029595047750913,0.6124873814410668,0.008832892567660339,0.6271454376845752,0.007117743338308304,0.3958332435606251,0.014461307808610218,0.44487070343258317,0.014505910894424542,0.5074651203793259,0.017218268536483644,0.40759493670886077,0.010126582278481011
intensity_3,tfidf,tfidf_word_linearsvc_raw,raw,0.640506329113924,0.009127977912567064,0.6011434278662035,0.012005015716913904,0.608935970703401,0.009505741078306762,0.6343772992879768,0.0086238636214235,0.38460418007395925,0.01643943221161026,0.4358442771454536,0.014642320957801446,0.5053774779290311,0.030012408700693813,0.3814345991561181,0.006371168299806523
intensity_3,tfidf,tfidf_word_logreg_raw,raw,0.620253164556962,0.0025316455696202667,0.6186454953751416,0.003955310527059649,0.6050529842651563,0.004260937985609291,0.6194937370301324,0.002829443256367414,0.38180100083532453,0.004210718387627847,0.4396266054307893,0.00750883304991208,0.5137931946523114,0.0124697793147881,0.4084388185654008,0.0063711682998065285
intensity_3,tfidf,tfidf_char_logreg_stopfiltered,stopfiltered,0.619409282700422,0.010231523757790842,0.6169043347710472,0.002707215119463393,0.6026532864753215,0.007168387551436693,0.619749070565273,0.00935835497789287,0.3830850090928732,0.00996611852622399,0.43163281222820676,0.011908803367885338,0.4936136587880189,0.019419248001743224,0.41687763713080167,0.014395546083740073
