validation_region,n,pct
both_applicable_same_3x3,392,0.39635995955510617
both_applicable_disagree_3x3,299,0.3023255813953488
both_excluded,155,0.15672396359959556
linear_applicable_hybrid_excluded,82,0.08291203235591507
linear_excluded_hybrid_applicable,61,0.06167846309403438
