language_audit,n,linear_applicable,hybrid_applicable,pct
de,1,0,0,0.0010111223458038423
en,122,0,0,0.12335692618806876
no,1,0,0,0.0010111223458038423
pt,863,772,750,0.8725985844287159
pt_en_bilingual,1,0,1,0.0010111223458038423
pt_short,1,1,1,0.0010111223458038423
