task,n,exact_agreement,cohen_kappa,macro_f1_a1_vs_a2,macro_f1_a2_vs_a1,linear_weighted_kappa,quadratic_weighted_kappa,mae
applicability_final,1497,1.0,1.0,1.0,1.0,,,
acceptance_5_final_applicable,734,0.6294277929155313,0.5143329765495767,0.6101916479172563,0.6101916479172563,0.6710060033560525,0.7990272177549549,0.4359673024523161
intensity_5_final_applicable,734,0.44141689373297,0.2815380538452541,0.44727324264247,0.44727324264247,0.4915047027053461,0.66688420799952,0.6948228882833788
acceptance_3_final_applicable,734,0.7779291553133515,0.6508933234901914,0.7475747359972204,0.7475747359972204,0.7100386355927295,0.7630271168983267,0.2602179836512261
intensity_3_final_applicable,734,0.6294277929155313,0.3976963502416479,0.6136267936496215,0.6136267936496215,0.4837681394078001,0.5928991638424994,0.3787465940054496
